nScenarios:   10 

Pi:   0.100000 

QTranspose: [ 
   3 	  16 	   0 	  27 	   2 	   0 	   1 	   5 	   1 	   4 	  21 	   3 	   2 	   4 	  20 	  39 	   9 	   2 	  35 	   2 	  17 	  21 	   1 	  18 	   6 	
   7 	   9 	   0 	  25 	   6 	   0 	   2 	  11 	   2 	   5 	  20 	   3 	   6 	   0 	  34 	  50 	  12 	   1 	  47 	   2 	  13 	  19 	   1 	  14 	   2 	
   1 	  16 	   1 	  26 	   4 	   0 	   2 	   3 	   2 	   5 	  16 	   2 	   5 	   2 	  21 	  36 	  11 	   2 	  53 	   4 	  19 	  10 	   1 	  19 	   3 	
   2 	  20 	   1 	  34 	   5 	   4 	   2 	   8 	   1 	   3 	  28 	   2 	   8 	   2 	  32 	  29 	  15 	   2 	  43 	   3 	  11 	  19 	   2 	   6 	   4 	
   3 	  14 	   4 	  28 	   7 	   2 	   0 	  10 	   3 	  11 	  18 	   1 	   7 	   3 	  22 	  40 	  12 	   4 	  45 	   2 	   7 	   7 	   0 	  13 	   6 	
   4 	  14 	   3 	  24 	   3 	   2 	   5 	   6 	   0 	   6 	  19 	   3 	   3 	   4 	  34 	  37 	   7 	   0 	  34 	   1 	   9 	  11 	   3 	  16 	   0 	
   1 	  21 	   2 	  25 	   3 	   3 	   1 	   6 	   5 	   6 	  19 	   2 	   4 	   3 	  24 	  24 	   6 	   2 	  44 	   4 	  12 	  23 	   2 	  15 	   4 	
   5 	  15 	   1 	  22 	   3 	   2 	   1 	   8 	   0 	   3 	  26 	   1 	   5 	   2 	  38 	  32 	   5 	   3 	  47 	   7 	  20 	   6 	   1 	  17 	   8 	
   8 	  14 	   4 	  32 	   3 	   2 	   2 	   6 	   4 	   7 	  21 	   5 	   2 	   0 	  24 	  36 	   4 	   5 	  48 	   0 	  11 	  12 	   0 	  19 	   3 	
   7 	  15 	   4 	  36 	   7 	   2 	   2 	   8 	   1 	   4 	  23 	   0 	   4 	   2 	  35 	  33 	  14 	   2 	  36 	   6 	  15 	   8 	   2 	  18 	   7 	
]
